"","obs.num.ext","ext.rnd.mean","ext.rnd.lower","ext.rnd.upper","ext.z.value","ext.p.value","obs.ext.rank","rank.mean","rank.lower","rank.upper","rank.z.value","rank.p.value"
"8.6",6,5.33833833833834,5,6,1.31247477176785,0.169,3.66666666666667,11.809547642881,11.1583333333333,12,-27.828969297915,0.001
"8.7",3,3.12712712712713,3,4,-0.37151822506794,0.4385,4,10.9336836836837,10.5,11,-38.5450025884999,0.001
"9.14",5,10.01001001001,8,12,-4.78536504502961,0.001,4.8,10.4708889403334,9.27272727272727,11.75,-8.92421151911817,0.001
"9.15",3,6.01901901901902,5,8,-3.87227404692009,0.001,6.66666666666667,17.2247088358199,15.7142857142857,18,-15.5500622232953,0.001
"9.19",6,6.07607607607608,6,7,-0.286806158229939,0.4625,8.83333333333333,23.46138996139,23,23.5,-108.429722458674,0.001
"9.22",4,7.10510510510511,7,8,-10.1195432546636,0.001,12.5,26.9460710710711,26.5,27,-91.1297772584506,0.001
"9.25",10,12.5915915915916,10,15,-2.0282526823109,0.024,8.4,19.462291378958,17.7992857142857,21.2,-12.8586462214229,0.001
"9.7",2,5.06406406406406,5,6,-12.506911124147,0.001,7.5,19.9674674674675,19.5,20,-99.9570336412865,0.001
"11.11",4,7.06606606606607,5,9,-2.3891503226436,0.011,4.25,9.42517040850374,7.995,11.2,-6.15885223961373,0.001
"14.1",3,4.12412412412412,2,6,-0.996262175348316,0.184,3,9.7812693646027,8.2,11.5,-7.48967555436834,0.001
"14.16",1,1.61861861861862,1,2,-1.27295859052032,0.1915,2,3.69069069069069,3.5,4,-6.9580163734266,0.001
"14.17",0,1.68868868868869,1,2,-3.42802334607918,0.001,NA,3.65265265265265,3.5,4,NA,0
"14.18",2,2.2982982982983,2,3,-0.611989203557427,0.3585,2,9.31664998331665,8.5,9.5,-21.9775217556126,0.001
"14.19",0,4.04004004004004,3,6,-5.37227274973326,0.001,NA,6.38703703703704,5.5,7,NA,0
"14.2",2,1.23123123123123,1,2,1.75460590685918,0.1155,3.5,7.85869202535869,7,8,-15.0366223521818,0.001
"14.6",2,2.53253253253253,1,4,-0.564969301002866,0.317,3.5,8.75128461795128,7,10,-6.24432453118879,0.001
"14.8",1,1.13913913913914,1,2,-0.398511890493266,0.4315,1,7.92342342342342,7.5,8,-34.4143099666145,0.001
